.513599	0.517297	-0.703369	1607.000000	4000.000000	
2.966942	0.001529	1.012431	-0.512012	0.515491	-0.703809	1607.000000	4000.000000	
2.979177	0.087173	1.047606	-0.510803	0.515845	-0.705981	1607.000000	4000.000000	
2.879769	0.071880	1.013960	-0.512183	0.515723	-0.705420	1607.000000	4000.000000	
3.067879	-0.165170	1.084310	-0.511804	0.515186	-0.703906	1607.000000	4000.000000	
2.948590	0.012235	1.036900	-0.511865	0.514050	-0.704736	1607.000000	4000.000000	
2.976118	0.021411	1.075134	-0.511389	0.515088	-0.705823	1607.000000	4000.000000	
2.930237	0.139171	1.107250	-0.511877	0.515820	-0.705505	1607.000000	4000.000000	
2.970001	0.012235	1.069017	-0.510876	0.515112	-0.705212	1607.000000	4000.000000	
2.989882	0.022940	1.096545	-0.511829	0.514563	-0.704907	1607.000000	4000.000000	
3.090819	-0.062703	1.130191	-0.512952	0.513647	-0.704797	1607.000000	4000.000000	
2.944001	0.133054	1.053723	-0.509180	0.513110	-0.704626	1607.000000	4000.000000	
2.898121	-0.067291	1.076663	-0.511072	0.513086	-0.705432	1606.000000	4000.000000	
3.037292	0.027528	1.088898	-0.512573	0.515710	-0.704724	1607.000000	4000.000000	
3.124465	0.033646	1.062899	-0.512170	0.514124	-0.704626	1607.000000	4000.000000	
2.910356	0.044351	1.087369	-0.512769	0.513623	-0.704114	1607.000000	4000.000000	
2.980706	0.024470	1.101133	-0.512634	0.514441	-0.702417	1607.000000	4000.000000	
3.044939	0.159053	1.023136	-0.512549	0.515112	-0.703308	1607.000000	4000.000000	
2.974589	0.067291	1.085840	-0.512427	0.514868	-0.705164	1607.000000	4000.000000	
3.054115	0.009176	1.020077	-0.513501	0.515124	-0.703296	1607.000000	4000.000000	
2.986823	0.116231	1.050664	-0.512158	0.515124	-0.703613	1607.000000	4000.000000	
2.970001	-0.027528	1.105721	-0.513159	0.514282	-0.704187	1607.000000	4000.000000	
2.948590	0.107055	0.972668	-0.514673	0.515735	-0.704578	1607.000000	4000.000000	
2.937884	-0.010705	1.065958	-0.512085	0.515466	-0.703687	1607.000000	4000.000000	
2.937884	0.087173	1.024665	-0.513367	0.516370	-0.702966	1607.000000	4000.000000	
2.965412	-0.084114	1.087369	-0.514514	0.517395	-0.703125	1607.000000	4000.000000	
2.988353	0.071880	1.050664	-0.515442	0.515540	-0.703357	1607.000000	4000.000000	
3.011293	0.085644	0.981844	-0.512097	0.516345	-0.703821	1607.000000	4000.000000	
2.983765	0.136112	1.036900	-0.511707	0.516052	-0.703198	1607.000000	4000.000000	
2.996000	0.087173	1.033842	-0.511633	0.517224	-0.702991	1607.000000	4000.000000	
3.011293	0.155994	0.960433	-0.513208	0.518689	-0.703882	1607.000000	4000.000000	
2.960824	0.055057	1.119485	-0.513464	0.516699	-0.703125	1606.000000	4000.000000	
3.000587	-0.081056	1.062899	-0.513049	0.517737	-0.703174	1607.000000	4000.000000	
3.077055	0.027528	1.020077	-0.511841	0.515772	-0.703650	1606.000000	4000.000000	
2.996000	-0.082585	1.032312	-0.509766	0.517456	-0.703613	1606.000000	4000.000000	
2.983765	0.206462	0.972668	-0.510156	0.517432	-0.703809	1607.000000	4000.000000	
2.968471	0.113172	1.015489	-0.511755	0.516992	-0.703027	1607.000000	4000.000000	
2.985294	0.129995	1.032312	-0.511267	0.517224	-0.704395	1607.000000	4000.000000	
